index,occurrence_unique_id,occurrence_year,division,homicide_type,occurrence_date,hood_id,neighbourhood,longitude,latitude,object_id,x,y
1186,GO-20181191880,2018,D52,Shooting,2018-06-30 12:00:00,77,Waterfront Communities-The Island (77),-79.39366252,43.64935047,663,-79.39366252,43.64935046999999
1187,GO-20181191880,2018,D52,Shooting,2018-06-30 12:00:00,77,Waterfront Communities-The Island (77),-79.39366252,43.64935047,664,-79.39366252,43.64935046999999
1188,GO-20181194072,2018,D55,Stabbing,2018-07-01 12:00:00,69,Blake-Jones (69),-79.33234245,43.6814835,665,-79.33234245,43.681483499999985
1189,GO-20181198918,2018,D14,Shooting,2018-07-01 12:00:00,78,Kensington-Chinatown (78),-79.40229657,43.65523449,666,-79.40229657,43.655234490000005
1190,GO-20181240749,2018,D31,Shooting,2018-07-08 12:00:00,24,Black Creek (24),-79.51472666,43.76721178,667,-79.51472666,43.76721178
1191,GO-20181245963,2018,D31,Shooting,2018-07-09 12:00:00,24,Black Creek (24),-79.51872198,43.76916389,668,-79.51872197999998,43.76916389000001
1192,GO-20181221507,2018,D41,Other,2018-07-05 12:00:00,120,Clairlea-Birchmount (120),-79.28852198,43.70437997,669,-79.28852197999998,43.70437996999999
1193,GO-20181341286,2018,D55,Shooting,2018-07-23 12:00:00,68,North Riverdale (68),-79.351925,43.67755671,670,-79.351925,43.67755671
1194,GO-20181329654,2018,D55,Stabbing,2018-07-21 12:00:00,70,South Riverdale (70),-79.34751991,43.65649482,671,-79.34751991,43.65649482
1195,GO-20181341286,2018,D55,Shooting,2018-07-23 12:00:00,68,North Riverdale (68),-79.351925,43.67755671,672,-79.351925,43.67755671
1196,GO-20181358001,2018,D31,Shooting,2018-07-25 12:00:00,21,Humber Summit (21),-79.56882783,43.75471072,673,-79.56882783000002,43.75471072
1197,GO-2018104863,2012,D51,Other,2012-10-18 12:00:00,75,Church-Yonge Corridor (75),-79.38007115,43.66369728,674,-79.38007115,43.66369728
1198,GO-2018104863,2015,D43,Other,2015-10-15 12:00:00,137,Woburn (137),-79.22222041,43.751025,675,-79.22222041,43.751025000000006
